證交所新聞
"標題","連結","日期"
"臺灣證券交易所有價證券上市審議委員會審議通過永豐餘消費品實業股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179d16e1b19006e","110年06月03日"
"臺灣證券交易所訂於6月7日召開有價證券上市審議委員會第738次會議，將審議八方雲集國際(股)公司之申請股票上市案。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179d14bd8fd006a","110年06月03日"
"「宏遠證券股份有限公司」國內第一次無擔保轉換公司債（證券代號：60151）採競價拍賣方式辦理承銷，於今(6/2)日順利完成","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179cc1df6890063","110年06月02日"
"110年截至5月底權證發行與交易統計","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179cadc1be0005c","110年06月02日"
"110年5月份權證發行與交易統計","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179cad34b040056","110年06月02日"
"臺灣證券交易所訂於6月3日召開有價證券上市審議委員會第737次會議，將審議永豐餘消費品實業(股)公司之申請股票上市案。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179c72338590050","110年06月01日"
"證交所公布109年度本國上市公司全體員工薪酬資訊","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179c6b9409c004c","110年06月01日"
"上市金融控股公司110年第1季財務報告均已完成申報作業","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179c19d4a800038","110年05月31日"
"上週外資在集中市場買超70.15億元，買超新光金14.16萬張最多，另賣超聯電7.54萬張最多。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179c0bcd81e0034","110年05月31日"
"證交所積極向國內外投資人宣導台股體質強健，鞏固市場信心","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179c061bd9c0030","110年05月31日"
"強化第一上市公司監理，修正公開資訊觀測站「財務重點專區」資訊揭露處理原則","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179b26b7d48002b","110年05月28日"
"第一化成控股(開曼)股份有限公司(簡稱：IKKA-KY，上市代號:2250）股票自110年5月31日開始上市買賣","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179b265b5e40027","110年05月28日"
"證交所臉書舉辦「『股海王』道具補給『讚』」抽獎活動 協助年輕人成為「股海王」","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179b256a8a10023","110年05月28日"
"本週發行量加權股價指數漲幅約為3.49%，上市股票總市值達51.55兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179b2429312001e","110年05月28日"
"臺灣證券交易所對亞諾法生技股份有限公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179b238b2220019","110年05月28日"
"110年綠色經濟暨航運線上主題式業績發表會圓滿結束","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179ad18b2e7000c","110年05月27日"
"中國信託投信募集發行之中信關鍵半導體ETF，將於5月28日掛牌上市","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179a826f5760004","110年05月26日"
"「第一上市公司線上財務業務說明會」自6月1日起登場","https://www.twse.com.tw/zh/news/newsDetail/ff808081797d9f650179a2e991b2005a","110年05月25日"
"鈞泰國際股份有限公司(公司代號：6131)上市有價證券將於110年7月5日終止上市","https://www.twse.com.tw/zh/news/newsDetail/ff808081797d9f650179a2948b820050","110年05月25日"
